continent	region_monde	pays	CO2	eau	sanitaire	democratie
Afrique	Af_subsahar	Angola	0,63	0,10	bas	faible
Afrique	Af_subsahar	Benin	0,35	0,07	bas	fort
Afrique	Af_subsahar	Botswana	3,60	0,81	bas	fort
Afrique	Af_subsahar	BurkinaFaso	0,14	0,11	bas	moyen
Afrique	Af_subsahar	Cameroon	0,17	0,12	bas	faible
Afrique	Af_subsahar	CentralAfricanRepublic	0,08	0,09	bas	faible
Afrique	Af_subsahar	Chad	0,04	0,08	bas	faible
Afrique	Af_subsahar	Gabon	1,03	0,26	bas	moyen
Afrique	Af_subsahar	Ghana	0,34	0,09	bas	fort
Afrique	Af_subsahar	Guinea	0,13	0,12	bas	faible
Afrique	Af_subsahar	Kenya	0,34	0,13	bas	faible
Afrique	Af_subsahar	Lesotho	0,66	0,17	bas	moyen
Afrique	Af_subsahar	Madagascar	0,12	0,57	bas	faible
Afrique	Af_subsahar	Malawi	0,11	0,06	bas	moyen
Afrique	Af_subsahar	Mali	0,08	0,56	bas	moyen
Afrique	Af_subsahar	Mauritania	0,42	0,58	bas	faible
Afrique	Af_subsahar	Mauritius	3,90	1,13	haut	fort
Afrique	Af_subsahar	Mozambique	0,14	0,06	bas	moyen
Afrique	Af_subsahar	Niger	0,07	0,29	bas	faible
Afrique	Af_subsahar	Rwanda	0,12	0,03	bas	faible
Afrique	Af_subsahar	Senegal	0,39	0,32	bas	moyen
Afrique	Af_subsahar	SierraLeone	0,21	0,12	bas	moyen
Afrique	Af_subsahar	SouthAfrica	4,70	0,41	bas	fort
Afrique	Af_subsahar	Swaziland	2,04	0,83	bas	faible
Afrique	Af_subsahar	Tanzania	0,18	0,12	bas	moyen
Afrique	Af_subsahar	Togo	0,23	0,07	bas	moyen
Afrique	Af_subsahar	Uganda	0,15	0,04	bas	faible
Afrique	Af_subsahar	Zambia	0,26	0,14	bas	moyen
Afrique	Afrique_NW	Algeria	1,30	0,57	haut	faible
Afrique	Afrique_NW	Egypt	2,03	2,26	haut	faible
Afrique	Afrique_NW	Israel	6,65	0,96	haut	moyen
Afrique	Afrique_NW	Jordan	3,05	0,96	haut	faible
Afrique	Afrique_NW	Kuwait	18,22	1,01	haut	moyen
Afrique	Afrique_NW	Morocco	1,18	0,91	bas	moyen
Afrique	Afrique_NW	Saudi_Arabia	10,38	1,63	haut	faible
Afrique	Afrique_NW	Syrian_ArabRepublic	1,71	1,43	haut	faible
Afrique	Afrique_NW	Tunisia	1,70	1,14	haut	moyen
Afrique	Afrique_NW	United_Arab_Emirates	14,51	1,02	haut	moyen
Amerique	Am_latine	Argentina	3,27	0,48	haut	fort
Amerique	Am_latine	Bolivia	0,84	0,25	bas	moyen
Amerique	Am_latine	Brazil	1,84	0,30	bas	moyen
Amerique	Am_latine	Chile	3,11	0,73	haut	fort
Amerique	Am_latine	Colombia	1,53	0,27	bas	faible
Amerique	Am_latine	CostaRica	1,72	0,44	haut	fort
Amerique	Am_latine	DominicanRepublic	1,76	0,55	bas	moyen
Amerique	Am_latine	Ecuador	1,42	0,58	haut	moyen
Amerique	Am_latine	ElSalvador	1,07	0,23	bas	moyen
Amerique	Am_latine	Guatemala	0,73	0,13	bas	moyen
Amerique	Am_latine	Haiti	0,21	0,32	bas	faible
Amerique	Am_latine	Honduras	0,90	0,18	bas	moyen
Amerique	Am_latine	Jamaica	3,60	0,41	bas	fort
Amerique	Am_latine	Mexico	2,80	0,76	bas	moyen
Amerique	Am_latine	Nicaragua	0,63	0,21	bas	moyen
Amerique	Am_latine	Panama	2,27	0,27	bas	fort
Amerique	Am_latine	Peru	1,40	0,64	bas	moyen
Amerique	Am_latine	TrinidadandTobago	7,89	0,51	haut	fort
Amerique	Am_latine	Uruguay	2,97	0,29	haut	fort
Amerique	EU_CA_Oceanie	Australia	11,80	0,90	haut	fort
Amerique	EU_CA_Oceanie	Canada	10,77	0,66	haut	fort
Amerique	EU_CA_Oceanie	UnitedStates	13,14	1,06	haut	fort
Asie	Asie_Centrale	Kazakhstan	7,51	1,64	haut	faible
Asie	Asie_Centrale	Kyrgyz_Republic	1,18	1,20	haut	faible
Asie	Asie_Centrale	Mongolia	2,41	0,40	bas	fort
Asie	Asie_Centrale	Tajikistan	0,54	1,81	haut	faible
Asie	Asie_Centrale	Turkey	4,08	1,11	haut	moyen
Asie	Asie_Centrale	Turkmenistan	6,96	3,16	haut	faible
Asie	Asie_Centrale	Uzbekistan	2,72	1,48	haut	faible
Asie	Asie_Centrale	Yemen	0,56	0,83	bas	faible
Asie	Asie_indus	China	3,99	0,54	bas	faible
Asie	Asie_indus	Japan	7,69	0,43	haut	fort
Asie	Asie_indus	Korea	8,23	0,50	haut	fort
Asie	Asie_S_SE	Cambodia	0,36	0,26	bas	faible
Asie	Asie_S_SE	India	1,07	0,90	bas	moyen
Asie	Asie_S_SE	Indonesia	1,34	0,30	bas	moyen
Asie	Asie_S_SE	Iran	5,56	2,52	haut	faible
Asie	Asie_S_SE	Laos	0,25	0,29	bas	faible
Asie	Asie_S_SE	Malaysia	3,99	0,60	haut	moyen
Asie	Asie_S_SE	Nepal	0,17	0,55	bas	faible
Asie	Asie_S_SE	Pakistan	0,61	1,72	bas	faible
Asie	Asie_S_SE	Philippines	0,68	0,31	bas	faible
Asie	Asie_S_SE	SriLanka	0,65	0,70	haut	faible
Asie	Asie_S_SE	Thailand	2,85	0,75	haut	faible
Asie	Asie_S_SE	Vietnam	1,35	0,38	bas	faible
Asie	Asie_S_SE	Bangladesh	0,28	0,36	bas	faible
Europe	Europe_Est	Albania	1,63	0,94	haut	moyen
Europe	Europe_Est	Armenia	1,70	0,88	haut	moyen
Europe	Europe_Est	Azerbaijan	2,76	0,86	bas	faible
Europe	Europe_Est	Bosnia_Herzegovina	5,38	0,15	haut	moyen
Europe	Europe_Est	Estonia	8,78	0,78	haut	fort
Europe	Europe_Est	Finland	9,10	0,37	haut	fort
Europe	Europe_Est	Georgia	1,73	0,67	haut	moyen
Europe	Europe_Est	Macedonia	3,76	0,42	haut	moyen
Europe	Europe_Est	Moldova	0,28	0,66	bas	moyen
Europe	Europe_Est	Russia	6,52	0,47	bas	faible
Europe	Europe_Est	Slovenia	6,59	0,45	haut	fort
Europe	Europe_Est	Ukraine	3,54	0,29	haut	moyen
Europe	Europe_W	France	5,40	0,59	haut	fort
Europe	Europe_W	Austria	7,70	0,45	haut	fort
Europe	Europe_W	Belgium	6,61	0,64	haut	fort
Europe	Europe_W	Bulgaria	3,38	0,43	haut	fort
Europe	Europe_W	Croatia	4,61	0,19	haut	fort
Europe	Europe_W	Cyprus	7,85	1,19	haut	fort
Europe	Europe_W	CzechRepublic	6,79	0,37	haut	fort
Europe	Europe_W	Denmark	7,29	0,44	haut	fort
Europe	Europe_W	Germany	6,74	0,41	haut	fort
Europe	Europe_W	Greece	8,24	1,54	haut	fort
Europe	Europe_W	Hungary	3,99	0,32	haut	fort
Europe	Europe_W	Ireland	7,35	0,44	haut	fort
Europe	Europe_W	Netherlands	8,22	0,59	haut	fort
Europe	Europe_W	Portugal	4,75	1,70	haut	fort
Europe	Europe_W	Slovak_Republic	7,47	0,35	haut	fort
Europe	Europe_W	Spain	5,66	1,35	haut	fort
Europe	Europe_W	Sweden	6,35	0,36	haut	fort
Europe	Europe_W	United_Kingdom	7,48	0,42	haut	fort
