,transcription_factor,target_gene
0,G15,G1
1,G98,G1
2,G109,G1
3,G22,G9
4,G211,G11
5,G41,G12
6,G1,G13
7,G68,G14
8,G87,G14
9,G111,G14
10,G273,G14
11,G45,G15
12,G111,G15
13,G112,G15
14,G168,G15
15,G254,G15
16,G273,G15
17,G76,G19
18,G61,G20
19,G76,G20
20,G111,G20
21,G224,G20
22,G273,G20
23,G319,G20
24,G15,G21
25,G45,G21
26,G95,G21
27,G101,G21
28,G111,G21
29,G212,G21
30,G273,G21
31,G87,G22
32,G138,G23
33,G11,G25
34,G41,G25
35,G211,G25
36,G138,G27
37,G168,G29
38,G121,G30
39,G139,G30
40,G227,G30
41,G273,G30
42,G14,G37
43,G15,G37
44,G45,G37
45,G47,G37
46,G87,G37
47,G111,G37
48,G112,G37
49,G273,G37
50,G274,G37
51,G76,G41
52,G298,G41
53,G15,G43
54,G160,G43
55,G223,G43
56,G111,G44
57,G11,G45
58,G15,G45
59,G47,G45
60,G87,G45
61,G101,G45
62,G112,G45
63,G152,G45
64,G273,G45
65,G25,G47
66,G1,G48
67,G22,G48
68,G87,G48
69,G1,G52
70,G14,G52
71,G15,G52
72,G22,G52
73,G45,G52
74,G87,G52
75,G101,G52
76,G112,G52
77,G152,G52
78,G172,G52
79,G224,G52
80,G87,G53
81,G112,G53
82,G76,G55
83,G274,G55
84,G22,G58
85,G41,G62
86,G76,G63
87,G1,G65
88,G98,G65
89,G15,G66
90,G71,G66
91,G104,G66
92,G109,G66
93,G112,G66
94,G143,G66
95,G152,G66
96,G205,G66
97,G227,G66
98,G15,G68
99,G45,G68
100,G87,G68
101,G101,G68
102,G171,G68
103,G138,G70
104,G273,G70
105,G138,G72
106,G98,G74
107,G76,G78
108,G94,G78
109,G152,G79
110,G160,G80
111,G98,G81
112,G71,G82
113,G109,G82
114,G223,G82
115,G160,G85
116,G223,G85
117,G68,G88
118,G319,G90
119,G1,G97
120,G86,G97
121,G1,G98
122,G117,G100
123,G1,G101
124,G219,G102
125,G138,G105
126,G15,G107
127,G45,G107
128,G87,G107
129,G101,G107
130,G111,G107
131,G112,G107
132,G168,G107
133,G171,G107
134,G273,G107
135,G41,G108
136,G71,G109
137,G224,G110
138,G15,G111
139,G76,G112
140,G104,G112
141,G121,G112
142,G152,G112
143,G160,G112
144,G15,G113
145,G45,G113
146,G76,G113
147,G87,G113
148,G101,G113
149,G111,G113
150,G136,G113
151,G172,G113
152,G233,G113
153,G254,G113
154,G247,G115
155,G22,G116
156,G61,G116
157,G143,G116
158,G144,G116
159,G222,G116
160,G258,G116
161,G300,G116
162,G22,G117
163,G15,G119
164,G127,G122
165,G327,G124
166,G41,G128
167,G160,G128
168,G76,G130
169,G158,G130
170,G219,G130
171,G22,G134
172,G41,G136
173,G224,G136
174,G212,G142
175,G112,G143
176,G152,G143
177,G154,G143
178,G22,G144
179,G298,G144
180,G41,G145
181,G211,G148
182,G76,G150
183,G160,G151
184,G319,G151
185,G1,G153
186,G86,G153
187,G97,G153
188,G126,G156
189,G14,G158
190,G15,G158
191,G22,G158
192,G45,G158
193,G87,G158
194,G101,G158
195,G111,G158
196,G273,G158
197,G1,G172
198,G76,G172
199,G98,G172
200,G71,G175
201,G41,G178
202,G160,G178
203,G101,G183
204,G160,G183
205,G231,G184
206,G22,G187
207,G110,G187
208,G221,G187
209,G224,G187
210,G41,G188
211,G298,G192
212,G160,G194
213,G111,G198
214,G136,G198
215,G258,G198
216,G117,G202
217,G127,G203
218,G41,G209
219,G211,G210
220,G221,G210
221,G87,G211
222,G303,G211
223,G138,G212
224,G71,G213
225,G25,G215
226,G87,G216
227,G219,G216
228,G41,G218
229,G34,G222
230,G71,G222
231,G121,G222
232,G143,G222
233,G274,G222
234,G222,G227
235,G1,G228
236,G98,G228
237,G41,G229
238,G138,G229
239,G41,G234
240,G117,G234
241,G219,G235
242,G276,G235
243,G138,G239
244,G104,G240
245,G112,G240
246,G152,G240
247,G22,G241
248,G111,G241
249,G50,G245
250,G76,G245
251,G126,G245
252,G138,G245
253,G158,G245
254,G224,G245
255,G15,G248
256,G104,G248
257,G112,G248
258,G143,G248
259,G152,G248
260,G154,G248
261,G34,G250
262,G222,G253
263,G62,G255
264,G95,G255
265,G136,G255
266,G224,G255
267,G289,G255
268,G15,G260
269,G45,G260
270,G1,G261
271,G15,G261
272,G98,G261
273,G101,G261
274,G109,G261
275,G176,G261
276,G205,G261
277,G111,G266
278,G50,G268
279,G76,G268
280,G14,G270
281,G15,G270
282,G110,G270
283,G112,G270
284,G152,G270
285,G224,G270
286,G111,G271
287,G138,G271
288,G14,G273
289,G45,G273
290,G71,G273
291,G224,G275
292,G34,G278
293,G98,G278
294,G212,G279
295,G316,G280
296,G41,G282
297,G14,G285
298,G97,G292
299,G76,G295
300,G224,G295
301,G329,G295
302,G104,G296
303,G112,G296
304,G152,G296
305,G76,G298
306,G94,G298
307,G117,G298
308,G15,G304
309,G22,G304
310,G87,G304
311,G101,G304
312,G15,G305
313,G112,G305
314,G15,G313
315,G171,G313
316,G109,G319
317,G138,G319
318,G327,G319
319,G319,G321
320,G138,G328
321,G224,G329
322,G138,G330
323,G224,G332
324,G109,G337
325,G288,G345
326,G102,G346
327,G76,G354
328,G41,G355
329,G50,G355
330,G76,G355
331,G138,G355
332,G147,G355
333,G199,G355
334,G76,G363
335,G41,G365
336,G41,G366
337,G76,G367
338,G41,G368
339,G298,G372
340,G71,G373
341,G121,G373
342,G143,G373
343,G160,G373
344,G256,G374
345,G221,G375
346,G160,G376
347,G22,G377
348,G97,G379
349,G14,G391
350,G22,G391
351,G47,G391
352,G139,G391
353,G168,G391
354,G212,G391
355,G227,G391
356,G233,G391
357,G273,G391
358,G316,G391
359,G288,G393
360,G1,G395
361,G11,G395
362,G98,G395
363,G101,G395
364,G138,G409
365,G171,G411
366,G65,G415
367,G66,G415
368,G109,G416
369,G102,G421
370,G212,G421
371,G219,G421
372,G41,G423
373,G68,G433
374,G171,G433
375,G112,G434
376,G152,G434
377,G76,G437
378,G117,G437
379,G147,G437
380,G199,G437
381,G71,G438
382,G109,G439
383,G1,G453
384,G76,G453
385,G117,G461
386,G214,G461
387,G22,G462
388,G87,G462
389,G97,G463
390,G212,G469
391,G319,G469
392,G324,G469
393,G160,G473
394,G87,G478
395,G319,G479
396,G223,G482
397,G319,G482
398,G324,G482
399,G111,G490
400,G104,G495
401,G112,G495
402,G152,G495
403,G154,G495
404,G68,G499
405,G171,G499
406,G110,G500
407,G224,G500
408,G104,G501
409,G171,G501
410,G14,G504
411,G15,G504
412,G45,G504
413,G101,G504
414,G111,G504
415,G112,G504
416,G257,G504
417,G273,G504
418,G160,G508
419,G168,G510
420,G109,G512
421,G22,G513
422,G11,G514
423,G104,G514
424,G112,G514
425,G117,G514
426,G211,G514
427,G212,G514
428,G224,G514
429,G247,G514
430,G301,G515
431,G95,G517
432,G97,G517
433,G136,G517
434,G97,G518
435,G303,G520
436,G1,G524
437,G76,G524
438,G160,G526
439,G15,G527
440,G41,G531
441,G1,G532
442,G319,G533
443,G291,G537
444,G11,G539
445,G76,G539
446,G87,G539
447,G101,G539
448,G211,G539
449,G219,G539
450,G211,G541
451,G298,G541
452,G97,G543
453,G319,G543
454,G160,G544
455,G117,G545
456,G41,G547
457,G71,G548
458,G109,G548
459,G121,G548
460,G143,G548
461,G87,G552
462,G117,G552
463,G122,G552
464,G136,G552
465,G224,G552
466,G97,G554
467,G138,G554
468,G71,G559
469,G87,G559
470,G111,G559
471,G41,G560
472,G98,G560
473,G34,G565
474,G160,G565
475,G1,G569
476,G71,G569
477,G121,G569
478,G143,G569
479,G138,G574
480,G219,G575
481,G138,G577
482,G102,G580
483,G303,G581
484,G101,G582
485,G22,G584
486,G139,G584
487,G138,G587
488,G76,G590
489,G258,G602
490,G138,G604
491,G1,G606
492,G98,G606
493,G71,G610
494,G104,G610
495,G112,G610
496,G143,G610
497,G152,G610
498,G41,G612
499,G171,G612
500,G219,G612
501,G76,G623
502,G94,G623
503,G111,G624
504,G319,G625
505,G274,G630
506,G41,G638
507,G71,G641
508,G223,G641
509,G138,G642
510,G224,G648
511,G176,G649
512,G76,G650
513,G19,G666
514,G319,G666
515,G301,G669
516,G224,G670
517,G45,G671
518,G102,G671
519,G127,G671
520,G203,G671
521,G297,G671
522,G288,G672
523,G138,G673
524,G221,G673
525,G222,G673
526,G298,G673
527,G176,G674
528,G219,G674
529,G274,G674
530,G109,G675
531,G211,G677
532,G138,G681
533,G223,G688
534,G319,G688
535,G324,G688
536,G300,G689
537,G1,G693
538,G196,G695
539,G143,G701
540,G104,G705
541,G138,G705
542,G104,G706
543,G152,G706
544,G76,G713
545,G160,G713
546,G138,G720
547,G61,G721
548,G71,G721
549,G76,G721
550,G109,G721
551,G22,G723
552,G141,G724
553,G224,G725
554,G247,G729
555,G298,G730
556,G212,G732
557,G94,G734
558,G160,G734
559,G298,G734
560,G87,G735
561,G71,G739
562,G104,G739
563,G109,G739
